row,column,cor,p
Alppl2,Bcl2l10,-0.558770182993786,0.0197227938165736
Alppl2,Btg4,-0.659300308387678,0.00398957749476314
Bcl2l10,Btg4,0.913901904335262,2.93557502306641e-07
Alppl2,Calcoco2,0.725153920098004,0.000988117742111161
Bcl2l10,Calcoco2,-0.843273803787966,2.11981070434852e-05
Btg4,Calcoco2,-0.939301218855044,2.29982215493862e-08
Alppl2,Cnbp,0.413644823060165,0.0988425604189649
Bcl2l10,Cnbp,-0.541872332100192,0.024649475666602
Btg4,Cnbp,-0.395577694083456,0.116024284875267
Calcoco2,Cnbp,0.369552498995778,0.14431285451064
Alppl2,Ctsl,0.554394695988512,0.0209173524389099
Bcl2l10,Ctsl,-0.576355116870204,0.0154490395940252
Btg4,Ctsl,-0.41093397102769,0.101296863342511
Calcoco2,Ctsl,0.376918993992372,0.135868901082116
Cnbp,Ctsl,0.857318573185732,1.0942260080915e-05
Alppl2,Dppa3,0.420691634158288,0.0926619109676268
Bcl2l10,Dppa3,-0.632203520820599,0.00647023936564617
Btg4,Dppa3,-0.502637616406376,0.0397474551831021
Calcoco2,Dppa3,0.504210917273353,0.0390321316510525
Cnbp,Dppa3,0.841272281175792,2.31722865309258e-05
Ctsl,Dppa3,0.782841868816309,0.000202845553061159
Alppl2,Eif5a,0.836709795467788,2.82616431688254e-05
Bcl2l10,Eif5a,-0.760149901587069,0.000397905189147174
Btg4,Eif5a,-0.863803680981595,7.87317599937332e-06
Calcoco2,Eif5a,0.911097657453392,3.70228511403781e-07
Cnbp,Eif5a,0.334766837384291,0.189038605667866
Ctsl,Eif5a,0.347666110017447,0.171503500473565
Dppa3,Eif5a,0.45933924495564,0.0636136568951007
Alppl2,Fbxo15,0.596673827161588,0.0114566540979442
Bcl2l10,Fbxo15,-0.941838175004893,1.68215987805809e-08
Btg4,Fbxo15,-0.864213996003442,7.70660233762044e-06
Calcoco2,Fbxo15,0.800758721020244,0.000112471204880338
Cnbp,Fbxo15,0.593950399831683,0.0119382251037194
Ctsl,Fbxo15,0.619290635412431,0.00802472235253227
Dppa3,Fbxo15,0.565101383601911,0.0180893611675266
Eif5a,Fbxo15,0.742606740851529,0.000638914636096999
Alppl2,Gcsh,0.580566244836342,0.0145430009738323
Bcl2l10,Gcsh,-0.508934169308758,0.0369433141731448
Btg4,Gcsh,-0.357714191380635,0.158624868978887
Calcoco2,Gcsh,0.369779985935756,0.14404683479051
Cnbp,Gcsh,0.92492325205649,1.08573030122017e-07
Ctsl,Gcsh,0.859692470474329,9.71838574836958e-06
Dppa3,Gcsh,0.787095790535613,0.000177225185064689
Eif5a,Gcsh,0.401352864212293,0.11031925232703
Fbxo15,Gcsh,0.570197055899696,0.016853283428538
Alppl2,Gdf9,-0.670357210669081,0.00323114022304893
Bcl2l10,Gdf9,0.857671142467059,1.07526206987174e-05
Btg4,Gdf9,0.930548600945501,6.15539410553367e-08
Calcoco2,Gdf9,-0.911550663004421,3.56792227762526e-07
Cnbp,Gdf9,-0.409846231450181,0.102293769406093
Ctsl,Gdf9,-0.454153932147498,0.0670575922777559
Dppa3,Gdf9,-0.558259634181809,0.0198593671566334
Eif5a,Gdf9,-0.881378265360534,2.94589572824577e-06
Fbxo15,Gdf9,-0.8423084491707,2.21316942798921e-05
Gcsh,Gdf9,-0.350985221674877,0.167174384890955
